hour,Demand (MW),Price (pounds/MWh)
0,19393.47674,121.6695583
1,18494.23256,117.6099192
2,18140,114.6284159
3,17571.37209,109.3080179
4,17412.66279,118.3320427
5,17894.23256,116.6455088
6,20122.96512,140.5269334
7,23454.4186,153.7261623
8,25539.53488,165.1708985
9,26149.55814,177.0585286
10,25813.65116,167.5912719
11,25393.81395,154.0230526
12,25353.47674,152.3551954
13,24982.9186,145.3560303
14,24606.59302,149.7549768
15,24708.66279,138.062992
16,25982.59302,199.7533604
17,27899.12791,243.4307809
18,28985.31395,236.1580188
19,29138.43023,182.1164002
20,28266.36047,141.4814269
21,26688.27907,131.6669608
22,24262.09302,124.2270847
23,21430.65116,129.3534087
